ID|Example Romaji|Example Kanji|Example English|Example French|Example Spanish|
2|keshigomu ga sanko arimasu.|消しゴムが三個あります。|There are three erasers.|Il y a trois gommes à effacer.|Hay tres gomas de borrar.|
3|kuruma ga godai arimasu.|車が五台あります。|There are five cars|Il y a cinq voitures|Hay cinco coches|
4|kono gitaa wa roku man en gurai des.|このギターは六万ぐらい円です。|This guitar (costs) about 60000 yen.|Cette guitare (coûts) sur le yen 60000.|Esta guitarra (costes) a unos 60.000 yenes.|
5|ima hachiji desu.|今は知事です。|It's now eight o'clock.|Il est maintenant huit heures.|Es ahora ocho.|
6|hon wo kyuu satsu karimashita.|本を九冊を借りました。|I borrowed nine books.|Je l'ai emprunté neuf livres.|Tomé prestado nueve libros.|
7|kodomo ga juunin imasu.|子供が住人います。|There are ten children.|Il y a dix enfants.|Hay diez niños.|
8|kore wa hyaku en desu.|これは百円です。|This (costs) one hundred yen.|Ça (coûte) une centaine de yens.|Este (cuesta) de cien yenes.|
9|kare wa sen en desu.|彼は千円です。|This (costs) one thousand yen.|Ça (coûte) mille yens.|Este (cuesta) de mil yenes.|
10|kore wa ichiman en desu.|これは一万円です。|This (costs) ten thousand yen.|Ça (coûte) dix mille yens.|Este (cuesta) diez mil yenes.|
11|kore wa niman en desu.|これは二万円です。|This (costs) twenty thousand yen.|Ça (coûte) vingt mille yens.|Este (cuesta) veinte mil yenes.|
12|kore wa sanman en desu.|これは三万円です。|This (costs) thirty thousand yen.|Ça (coûte) trente mille yens.|Este (cuesta) treinta mil yenes.|
13|kore wa yonman en desu.|これは四万円です。|This (costs) fourty thousand yen.|Ça (coûte) milliers de yens. Quarante|Este (cuesta) cuarenta mil yenes.|
14|kore wa goman en desu.|これは五万円です。|This (costs) fifty thousand yen.|Ça (coûte) cinquante mille yens.|Este (cuesta) cincuenta mil yenes.|
15|kore wa rokuman en desu.|これは六万円です。|This (costs) sixty thousand yen.|Ça (coûte) soixante mille yens.|Este (cuesta) sesenta mil yenes.|
16|kore wa nanaman en desu.|これは七万円です。|This (costs) seventy thousand yen.|Ça (coûte) soixante-dix mille yens.|Este (cuesta) setenta mil yenes.|
17|kore wa hachiman en desu.|これは八万円です。|This (costs) eighty thousand yen.|Ça (coûte) quatre-vingt mille yens.|Este (cuesta) ochenta mil yenes.|
18|kore wa kyuuman en desu.|これは九万円です。|This (costs) ninety thousand yen.|Ça (coûte) quatre-vingt dix mille yens.|Este (cuesta) noventa mil yenes.|
